Sect.,Request No.,Customer,Car Type,Classification,Model Name,Designer,FALP Due Date,Send Host,Guar Due Date,Entry OK,Type,Contents,Creation Date,Due Date,Apply,Check1,Check2,Guar Request,Finished,Remarks
FALP,210095,B,D92A,DRAWING,BM82141-BXV00H,RICA/JEAN,7-07,7-07,1-01,7-08,U/P,HF-D92A-21P002,6-29,7-02,6-29,7-06,7-06,7-06,7-06,UCP FROM BASE,
, , , , , , , , , , ,U/P,HF-D92A-21P006,7-02,7-05,7-02,,,,7-02,STU POSITION(CONN.51)/ CANCELLED BY FALP HAVE EMAIL		,
, , , , , , , , , , ,U/P,HF-D92A-21P009,7-03,7-05,7-05,7-06,7-06,7-06,7-06,CIVUS AS MOTHER WIRE,
, , , , , , , , , , ,U/P,HF-D92A-21P010,7-03,7-05,7-06,7-06,7-06,7-06,7-06,CONNECTOR COLOR 62,
, , , , , , , , , , ,U/P,HF-D92A-21P011,7-05,7-06,7-06,7-06,7-06,7-06,7-06,TUBE DIAMETER,
, , , , , , , , , , ,U/P,HF-D92A-21P013,7-05,7-06,7-06,7-06,7-06,7-06,7-06,MARUBO,
, , , , , , , , , , ,U/P,HF-D92A-21P014,7-06,7-06,7-06,7-06,7-06,7-06,7-06,JOINT POSITION,
, , , , , , , , , , ,U/P,HF-D92A-21P015,7-06,7-06,7-06,7-06,7-06,7-06,7-06,PRE-INSERT FOR VO10						,
, , , , , , , , , , ,U/P,HF-D92A-21P007,7-06,7-06,7-06,7-06,7-06,7-06,7-06,AFTER INSERT,
, , , , , , , , , , ,U/P,HF-D92A-21P013áô1,7-06,7-07,7-07,7-07,7-07,7-07,7-07,MARUBO,
, , , , , , , , , , ,E/M,ÅyPTB21-0095ÅzÅyD92AÅzBM82141-BXV00H Confirm #6 (AB-17),6-29,6-30,6-29,7-06,7-06,7-06,7-06,-,
, , , , , , , , , , ,E/M,ÅyPTB21-0095ÅzÅyD92AÅzBM82141-BXV00H Confirm #6 (TERMINAL),7-05,7-06,7-06,7-06,7-06,7-06,7-06,-,
, , , , , , , , , , ,E/M,ÅyPTB21-0095ÅzÅyD92AÅzBM82141--BXV00H Confirm #7 (PRE-INSERT),7-05,7-06,7-06,7-06,7-06,7-06,7-06,-,
, , , , , , , , , , ,E/M,ÅyPTB21-0095ÅzÅyD92AÅzBM82141-BXV00H Confirm #1(TERMINAL MARK),7-06,7-07,7-06,7-06,7-06,7-06,7-06,-,
, , , , , , , , , , ,E/M,FALPÅyPTB21-0095ÅzÅyD92AÅzBM82141-BXV00H Confirm #2 (LBD92A-2-21-0075),6-25,6-26,6-25,6-28,7-06,7-06,7-06,-,
, , , , , , , , , , ,E/M,ÅyPTB21-00095ÅzÅyD92AÅzBM82141-BXV00H Confirm #3 (LAYOUT),6-28,6-29,6-28,6-28,7-06,7-06,7-06,-,
, , , , , , , , , , ,E/M,ÅyPTB21-00095ÅzÅyD92AÅzBM82141-BXV00H Confirm #4 (FRAME OF BUKUMI),6-28,6-29,6-28,6-28,7-06,7-06,7-06,-,
, , , , , , , , , , ,O,PRB21-00040 / FIGURE REHISTRATION,6-26,6-29,6-26,6-28,7-06,7-06,7-06,-,
, , , , , , , , , , ,O,PRB21-00041 / COMMENT REGISTRATION,6-29,6-30,7-03,7-06,7-06,7-06,7-06,-,
, , , , , , , , , , ,O,PRB21-00042 / COUPLER SIDEWAY REGISTRATION,7-02,7-05,7-02,7-06,7-06,7-06,7-06,-,
, , , , , , , , , , ,O,PRB21-00044 / NEXAS COMMENT REGISTRATION,7-02,7-03,7-02,7-06,7-06,7-06,7-06,-,
, , , , , , , , , , ,O,DUPLICATED PRB21-00042 / COUPLER SIDEWAY REGISTRATION,7-02,7-05,7-02,,,,7-02,-,
, , , , , , , , , , ,O,PRB21-00047 / CAD MASTER CHANGE,7-06,7-07,,,,,,-
